userId,movieId,rating
1,1,4.0
1,3,4.0
1,6,4.0
2,2,1.0
5,1,4.0
6,2,4.0
6,3,5.0
6,4,3.0
6,5,5.0
6,6,4.0
6,7,4.0
6,8,3.0
6,10,3.0
6,11,4.0
6,13,3.0
7,1,4.5
8,2,4.0
8,10,2.0
8,11,4.0
11,6,5.0
11,10,3.0
14,4,3.0
14,7,3.0
15,1,2.5
17,1,4.5
18,1,3.5
18,2,3.0
18,6,4.0
19,1,4.0
19,2,3.0
19,3,3.0
19,7,2.0
19,10,2.0
19,12,1.0
19,13,3.0
20,1,1.0
20,2,2.0
20,3,3.0
20,4,4.0
20,5,5.0
20,6,1.0
20,7,1.0
20,8,1.0
20,9,1.0
20,10,1.0
21,1,1.0
21,2,2.0
21,3,3.0
21,4,4.0
21,5,5.0
21,6,1.0
21,7,1.0
21,8,1.0
21,9,1.0
21,10,1.0
